# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
OLLL; Outer Labial Lateral Dendrite Left; AB alppppapaa; Lateral outer labial neurons
OLLR; Outer Labial Lateral Dendrite Right; AB praaapapaa; Lateral outer labial neurons
OLQDL; Outer Labial Quadrant Dendrite Dorsal Left; AB alapapapaa; Quadrant outer labial neuron
OLQDR; Outer Labial Quadrant Dendrite Dorsal Right; AB alapppapaa; Quadrant outer labial neuron
OLQVL; Outer Labial Quadrant Dendrite Ventral Left; AB plpaaappaa; Quadrant outer labial neuron
OLQVR; Outer Labial Quadrant Dendrite Ventral Right; AB prpaaappaa; Quadrant outer labial neuron
PCAL; PostCloacal Sensilla Neuron A Left; Y.plppd; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion
PCAR; PostCloacal Sensilla Neuron A Right; Y.prppd; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion
PCBL; PostCloacal Sensilla Neuron B Left; Y.plpa; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion
PCBR; PostCloacal Sensilla Neuron B Right; Y.prpa; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion
PCCL; PostCloacal Sensilla Neuron C Left; B.arpaaa; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion
PCCR; PostCloacal Sensilla Neuron C Right; B.alpaaa; Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion
PDA; Preanal Cell Body Dorsal Axon A; AB prpppaaaa; Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male
PDB; Preanal Cell Body Dorsal Axon B; P12.apa; Motor neuron, process in dorsal cord, cell body in pre-anal ganglion
PDC; Preanal Cell with Dorsal Process C; P11.papa; Male specific interneuron, pre-anal ganglion
PDEL; Posterior DEirid Left; V5L.paaa; Neuron, dopaminergic of postderid sensillum
PDER; Posterior DEirid Right; V5R.paaa; Neuron, dopaminergic of postderid sensillum
PGA; Preanal Ganglion Cell A; P11.papp; Male specific interneuron, pre-anal ganglion
PHAL; PHasmid Neuron A Left; AB plpppaapp; Phasmid neurons, chemosensory
PHAR; PHasmid Neuron A Right; AB prpppaapp; Phasmid neurons, chemosensory
PHBL; PHasmid Neuron B Left; AB plapppappp; Phasmid neurons, chemosensory
PHBR; PHasmid Neuron B Right; AB prapppappp; Phasmid neurons, chemosensory
PHCL; PHasmid Neuron C Left; TL.pppaa; Neuron, striated rootlet in male, possibly sensory in tail spike
PHCR; PHasmid Neuron C Right ; TR.pppaa; Neuron, striated rootlet in male, possibly sensory in tail spike
PHDL; PHasmid Neuron D Left; TL.paa (PHsoL); Male specific sensory neuron
PHDR; PHasmid Neuron D Right; TR.paa (PHsoR); Male specific sensory neuron
PLML; Posterior Lateral Microtubule Neuron Left; AB plapappppaa; Posterior lateral microtubule cells, touch receptor neurons
PLMR; Posterior Lateral Microtubule Neuron Right; AB prapappppaa; Posterior lateral microtubule cells, touch receptor neurons
PLNL; Posterior Lateral N Left; TL.pppap; Interneuron, associated with PLM
PLNR; Posterior Lateral N Right; TR.pppap; Interneuron, associated with PLM
PQR; Posterior Q-cell Derived Receptor; QL.ap; Neuron, basal body, not part of a sensillum, projects into preanal ganglion
PVCL; Posterior Ventral Process C Left; AB plpppaapaa; Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta
PVCR; Posterior Ventral Process C Right; AB prpppaapaa; Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta
PVDL; Posterior Ventral Process D Left; V5L.paapa; Neuron, lateral process adjacent to excretory canal
PVDR; Posterior Ventral Process D Right; V5R.paapa; Neuron, lateral process adjacent to excretory canal
PVM; Posterior Ventral Microtubule Neuron; QL.paa; Posterior ventral microtubule cell, touch receptor
PVNL; Posterior Ventral Process N Left; TL.appp; Interneuron/motor neuron, post. vent. cord, few synapses
PVNR; Posterior Ventral Process N Right; TR.appp; Interneuron/motor neuron, post. vent. cord, few synapses
PVPL; Posterior Ventral Process P Left; AB plppppaaa; Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring
PVPR; Posterior Ventral Process P Right; AB prppppaaa; Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring
PVQL; Posterior Ventral Process Q Left; AB plapppaaa; Interneuron, projects along ventral cord to ring
PVQR; Posterior Ventral Process Q Right; AB prapppaaa; Interneuron, projects along ventral cord to ring
PVR; Posterior Ventral Process R; C aappa; Interneuron, projects along ventral cord to ring
