Cell name,Type,Name details,Lineage,Classification
PLMR,Mechanosensory,Posterior Lateral Microtubule Neuron Right,AB prapappppaa,"Posterior lateral microtubule cells, touch receptor neurons"
PLNL,Touch,Posterior Lateral N Left,TL.pppap,"Interneuron, associated with PLM"
PLNR,Touch,Posterior Lateral N Right,TR.pppap,"Interneuron, associated with PLM"
PQR,Touch,Posterior Q-cell Derived Receptor,QL.ap,"Neuron, basal body, not part of a sensillum, projects into preanal ganglion"
PVCL,Layer 1 interneuron,Posterior Ventral Process C Left,AB plpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta"
PVCR,Layer 1 interneuron,Posterior Ventral Process C Right,AB prpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta"
PVDL,Mechanosensory,Posterior Ventral Process D Left,V5L.paapa,"Neuron, lateral process adjacent to excretory canal"
PVDR,Mechanosensory,Posterior Ventral Process D Right,V5R.paapa,"Neuron, lateral process adjacent to excretory canal"
PVM,Mechanosensory,Posterior Ventral Microtubule Neuron,QL.paa,"Posterior ventral microtubule cell, touch receptor"
PVNL,Layer 3 interneuron,Posterior Ventral Process N Left,TL.appp,"Interneuron/motor neuron, post. vent. cord, few synapses"
PVNR,Layer 3 interneuron,Posterior Ventral Process N Right,TR.appp,"Interneuron/motor neuron, post. vent. cord, few synapses"
PVPL,Layer 3 interneuron,Posterior Ventral Process P Left,AB plppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring"
PVPR,Layer 3 interneuron,Posterior Ventral Process P Right,AB prppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring"
PVQL,Layer 3 interneuron,Posterior Ventral Process Q Left,AB plapppaaa,"Interneuron, projects along ventral cord to ring"
PVQR,Layer 3 interneuron,Posterior Ventral Process Q Right,AB prapppaaa,"Interneuron, projects along ventral cord to ring"
PVR,Layer 3 interneuron,Posterior Ventral Process R,C aappa,"Interneuron, projects along ventral cord to ring"
PVT,Layer 2 interneuron,Posterior Ventral Process T,AB plpappppa,"Interneuron, projects along ventral cord to ring"
PVWL,Layer 2 interneuron,Posterior Ventral Process W Left,TL.ppa,"Interneuron, posterior ventral cord, few synapses"
PVWR,Layer 2 interneuron,Posterior Ventral Process W Right,TR.ppa,"Interneuron, posterior ventral cord, few synapses"
RIAL,Layer 1 interneuron,Ring Interneuron A Left,AB alapaapaa,"Ring interneuron, many synapses"
RIAR,Layer 1 interneuron,Ring Interneuron A Right,AB alaapppaa,"Ring interneuron, many synapses"
RIBL,Layer 2 interneuron,Ring Interneuron B Left,AB plpaappap,Ring interneuron
RIBR,Layer 2 interneuron,Ring Interneuron B Right,AB prpaappap,Ring interneuron
RICL,Layer 2 interneuron,Ring Interneuron C Left,AB plppaaaapp,Ring interneuron
RICR,Layer 2 interneuron,Ring Interneuron C Right,AB prppaaaapp,Ring interneuron
RID,Layer 1 interneuron,Ring Interneuron D,AB alappaapa,"Ring interneuron, projects along dorsal cord"
RIFL,Layer 3 interneuron,Ring Interneuron F Left,AB plppapaaap,Ring interneuron
RIFR,Layer 3 interneuron,Ring Interneuron F Right,AB prppapaaap,Ring interneuron
RIGL,Layer 2 interneuron,Ring Interneuron G Left,AB plppappaa,Ring interneuron
RIGR,Layer 2 interneuron,Ring Interneuron G Right,AB prppappaa,Ring interneuron
RIH,Category 4 interneuron,Ring Interneuron H,AB prpappaaa,Ring interneuron
RIML,"Layer 1 interneuron; motorneuron in White et al., 1986",Ring Interneuron M Left,AB plppaapap,Ring motor neuron
RIMR,"Layer 1 interneuron; motorneuron in White et al., 1986",Ring Interneuron M Right,AB prppaapap,Ring motor neuron
RIPL,Linker to pharynx,Ring Interneuron P Left,AB alpapaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring"
RIPR,Linker to pharynx,Ring Interneuron P Right,AB arappaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring"
RIR,Category 4 interneuron,Ring Interneuron R,AB prpapppaa,Ring interneuron
RIS,Layer 3 interneuron,Ring Interneuron S,AB prpappapa,Ring interneuron
RIVL,Head motor neuron,Ring Interneuron V Left,AB plpaapaaa,Ring interneuron
RIVR,Head motor neuron,Ring Interneuron V Right,AB prpaapaaa,Ring interneuron
RMDDL,Head motor neuron,Ring Motor Neuron D Dorsal Left,AB alpapapaa,"Ring motor neuron/interneuron, many synapses"
RMDDR,Head motor neuron,Ring Motor Neuron D Dorsal Right,AB arappapaa,"Ring motor neuron/interneuron, many synapses"
RMDL,Head motor neuron,Ring Motor Neuron D Left,AB alpppapad,"Ring motor neuron/interneuron, many synapses"
RMDR,Head motor neuron,Ring Motor Neuron D Right,AB praaaapad,"Ring motor neuron/interneuron, many synapses"
RMDVL,Head motor neuron,Ring Motor Neuron D Ventral Left,AB alppapaaa,"Ring motor neuron/interneuron, many synapses"
RMDVR,Head motor neuron,Ring Motor Neuron D Ventral Right,AB arapppaaa,"Ring motor neuron/interneuron, many synapses"
RMED,Head motor neuron,Ring Motor Neuron E Dorsal,AB alapppaap,Ring motor neuron
RMEL,Head motor neuron,Ring Motor Neuron E Left,AB alaaaarlp,Ring motor neuron
RMER,Head motor neuron,Ring Motor Neuron E Right,AB alaaaarrp,Ring motor neuron
RMEV,Head motor neuron,Ring Motor Neuron E Ventral,AB plpappaaa,Ring motor neuron
RMFL,Layer 2 interneuron,Ring Motor Neuron F Left,G2.al,Ring motor neuron/interneuron
RMFR,Layer 2 interneuron,Ring Motor Neuron F Right,G2.ar,Ring motor neuron/interneuron
RMGL,Layer 2 interneuron,Ring Motor Neuron G Left,AB plapaaapp,Ring interneuron
RMGR,Layer 2 interneuron,Ring Motor Neuron G Right,AB prapaaapp,Ring interneuron
RMHL,Head motor neuron,Ring Motor Neuron H Left,G1.l,Ring motor neuron/interneuron
RMHR,Head motor neuron,Ring Motor Neuron H Right,G1.r,Ring motor neuron/interneuron
SAADL,Layer 2 interneuron,Sublateral Anterior A Dorsal Left,AB alppapapa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
SAADR,Layer 2 interneuron,Sublateral Anterior A Dorsal Right,AB arapppapa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
SAAVL,Layer 2 interneuron,Sublateral Anterior A Ventral Left,AB plpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
SAAVR,Layer 2 interneuron,Sublateral Anterior A Ventral Right,AB prpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
